jugar,trabajar,escribir,leer,hablar,contar,estudiar,explicar,agarrar,cambiar,beber,comer,enseñar,dormir,cocinar,ir,volver,levantarse,acostarse,sentarse,caminar,correr,bailar,estacionar,pasear,nadar,saltar,volar,caer,dar,subir,guardar,esconder,bajar,hacer,desvestir,vestir,bañar,secar,comprar,pagar,vender,peinar,mojar,pegar,limpiar,poner,cantar,dibujar,ordenar,coser,llevar,cortar,romper,pinchar,abrir,cerrar,plantar,regar,mirar,escuchar,pensar,oler,reir,llorar,amar,besar,querer,tener,olvidar,recordar,aprender,gustar,ayudar,saber,pelear,rascar,descansar,festejar,perder,ganar,esperar,abrazar,invitar,gritar,molestar
jugaban,trabajaban,escribían,leían,hablaban,contaban,estudiaban,explicaban,agarraban,cambiaban,bebían,comían,enseñaban,dormían,cocinaban,iban,volvían,se levantaban,se acostaban,se sentaban,caminaban,corrían,bailaban,estacionaban,paseaban,nadaban,saltaban,volaban,caían,daban,subían,guardaban,escondían,bajaban,hacían,desvestían,vestían,bañaban,secaban,compraban,pagaban,vendían,peinaban,mojaban,pegaban,limpiaban,ponían,cantaban,dibujaban,ordenaban,cosían,llevaban,cortaban,rompían,pinchaban,abrían,cerraban,plantaban,regaban,miraban,escuchaban,pensaban,olían,reían,lloraban,amaban,besaban,querían,tenían,olvidaban,recordaban,aprendían,gustaban,ayudaban,sabían,peleaban,rascaban,descansaban,festejaban,perdían,ganaban,esperaban,abrazaban,invitaban,gritaban,molestaban
jugabas,trabajabas,escribías,leías,hablabas,contabas,estudiabas,explicabas,agarrabas,cambiabas,bebías,comías,enseñabas,dormías,cocinabas,ibas,volvías,te levantabas,te acostabas,te sentabas,caminabas,corrías,bailabas,estacionabas,paseabas,nadabas,saltabas,volabas,caías,dabas,subías,guardabas,escondías,bajabas,hacías,desvestías,vestías,bañabas,secabas,comprabas,pagabas,vendías,peinabas,mojabas,pegabas,limpiabas,ponías,cantabas,dibujabas,ordenabas,cosías,llevabas,cortabas,rompías,pinchabas,abrías,cerrabas,plantabas,regabas,mirabas,escuchabas,pensabas,olías,reías,llorabas,amabas,besabas,querías,tenías,olvidabas,recordabas,aprendías,gustabas,ayudabas,sabías,peleabas,rascabas,descansabas,festejabas,perdías,ganabas,esperabas,abrazabas,invitabas,gritabas,molestabas
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jugué,trabajé,escribí,leí,hablé,conté,estudié,expliqué,agarré,cambié,bebí,comí,enseñé,dormí,cociné,fui,volví,me levanté,me acosté,me senté,caminé,corrí,bailé,estacioné,paseé,nadé,salté,volé,caí,di,subí,guardé,escondí,bajé,hice,desvestí,vestí,bañé,sequé,compré,pagué,vendí,peiné,mojé,pegué,limpié,puse,canté,dibujé,ordené,cosí,llevé,corté,rompí,pinché,abrí,cerré,planté,regué,miré,escuché,pensé,olí,reí,lloré,amé,besé,quise,tuve,olvidé,recordé,aprendí,gusté,ayudé,supe,peleé,rasqué,descansé,festejé,perdí,gané,esperé,abracé,invité,grité,molesté
jugaste,trabajaste,escribiste,leíste,hablaste,contaste,estudiaste,explicaste,agarraste,cambiaste,bebiste,comiste,enseñaste,dormiste,cocinaste,fuiste,volviste,te levantaste,te acostaste,te sentaste,caminaste,corriste,bailaste,estacionaste,paseaste,nadaste,saltaste,volaste,caíste,diste,subiste,guardaste,escondiste,bajaste,hiciste,desvestiste,vestiste,bañaste,secaste,compraste,pagaste,vendiste,peinaste,mojaste,pegaste,limpiaste,pusiste,cantaste,dibujaste,ordenaste,cosiste,llevaste,cortaste,rompiste,pinchaste,abriste,cerraste,plantaste,regaste,miraste,escuchaste,pensaste,oliste,reíste,lloraste,amaste,besaste,quisiste,tuviste,olvidaste,recordaste,aprendiste,gustaste,ayudaste,supiste,peleaste,rascaste,descansaste,festejaste,perdiste,ganaste,esperaste,abrazaste,invitaste,gritaste,molestaste
jugó,trabajó,escribió,leyó,habló,contó,estudió,explicó,agarró,cambió,bebió,comió,enseñó,durmió,cocinó,fue,volvió,se levantó,se acostó,se sentó,caminó,corrió,bailó,estacionó,paseó,nadó,saltó,voló,cayó,dio,subió,guardó,escondió,bajó,hizo,desvistió,vistió,bañó,secó,compró,pagó,vendió,peinó,mojó,pegó,limpió,puso,cantó,dibujó,ordenó,cosió,llevó,cortó,rompió,pinchó,abrió,cerró,plantó,regó,miró,escuchó,pensó,olió,rio,lloró,amó,besó,quiso,tuvo,olvidó,recordó,aprendió,gustó,ayudó,supo,peleó,rascó,descansó,festejó,perdió,ganó,esperó,abrazó,invitó,gritó,molestó
jugamos,trabajamos,escribimos,leímos,hablamos,contamos,estudiamos,explicamos,agarramos,cambiamos,bebimos,comimos,enseñamos,dormimos,cocinamos,fuimos,volvimos,nos levantamos,nos acostamos,nos sentamos,caminamos,corrimos,bailamos,estacionamos,paseamos,nadamos,saltamos,volamos,caímos,dimos,subimos,guardamos,escondimos,bajamos,hicimos,desvestimos,vestimos,bañamos,secamos,compramos,pagamos,vendimos,peinamos,mojamos,pegamos,limpiamos,pusimos,cantamos,dibujamos,ordenamos,cosimos,llevamos,cortamos,rompimos,pinchamos,abrimos,cerramos,plantamos,regamos,miramos,escuchamos,pensamos,olimos,reímos,lloramos,amamos,besamos,quisimos,tuvimos,olvidamos,recordamos,aprendimos,gustamos,ayudamos,supimos,peleamos,rascamos,descansamos,festejamos,perdimos,ganamos,esperamos,abrazamos,invitamos,gritamos,molestamos
jugaron,trabajaron,escribieron,leyeron,hablaron,contaron,estudiaron,explicaron,agarraron,cambiaron,bebieron,comieron,enseñaron,durmieron,cocinaron,fueron,volvieron,se levantaron,se acostaron,se sentaron,caminaron,corrieron,bailaron,estacionaron,pasearon,nadaron,saltaron,volaron,cayeron,dieron,subieron,guardaron,escondieron,bajaron,hicieron,desvistieron,vistieron,bañaron,secaron,compraron,pagaron,vendieron,peinaron,mojaron,pegaron,limpiaron,pusieron,cantaron,dibujaron,ordenaron,cosieron,llevaron,cortaron,rompieron,pincharon,abrieron,cerraron,plantaron,regaron,miraron,escucharon,pensaron,olieron,rieron,lloraron,amaron,besaron,quisieron,tuvieron,olvidaron,recordaron,aprendieron,gustaron,ayudaron,supieron,pelearon,rascaron,descansaron,festejaron,perdieron,ganaron,esperaron,abrazaron,invitaron,gritaron,molestaron
jugaste,trabajaste,escribiste,leíste,hablaste,contaste,estudiaste,explicaste,agarraste,cambiaste,bebiste,comiste,enseñaste,dormiste,cocinaste,fuiste,volviste,te levantaste,te acostaste,te sentaste,caminaste,corriste,bailaste,estacionaste,paseaste,nadaste,saltaste,volaste,caíste,diste,subiste,guardaste,escondiste,bajaste,hiciste,desvestiste,vestiste,bañaste,secaste,compraste,pagaste,vendiste,peinaste,mojaste,pegaste,limpiaste,pusiste,cantaste,dibujaste,ordenaste,cosiste,llevaste,cortaste,rompiste,pinchaste,abriste,cerraste,plantaste,regaste,miraste,escuchaste,pensaste,oliste,reíste,lloraste,amaste,besaste,quisiste,tuviste,olvidaste,recordaste,aprendiste,gustaste,ayudaste,supiste,peleaste,rascaste,descansaste,festejaste,perdiste,ganaste,esperaste,abrazaste,invitaste,gritaste,molestaste
jugaré,trabajaré,escribiré,leeré,hablaré,contaré,estudiaré,explicaré,agarraré,cambiaré,beberé,comeré,enseñaré,dormiré,cocinaré,iré,volveré,me levantaré,me acostaré,me sentaré,caminaré,correré,bailaré,estacionaré,pasearé,nadaré,saltaré,volaré,caeré,daré,subiré,guardaré,esconderé,bajaré,haré,desvestiré,vestiré,bañaré,secaré,compraré,pagaré,venderé,peinaré,mojaré,pegaré,limpiaré,pondré,cantaré,dibujaré,ordenaré,coseré,llevaré,cortaré,romperé,pincharé,abriré,cerraré,plantaré,regaré,miraré,escucharé,pensaré,oleré,reiré,lloraré,amaré,besaré,querré,tendré,olvidaré,recordaré,aprenderé,gustaré,ayudaré,sabré,pelearé,rascaré,descansaré,festejaré,perderé,ganaré,esperaré,abrazaré,invitaré,gritaré,molestaré
jugarás,trabajarás,escribirás,leerás,hablarás,contarás,estudiarás,explicarás,agarrarás,cambiarás,beberás,comerás,enseñarás,dormirás,cocinarás,irás,volverás,te levantarás,te acostarás,te sentarás,caminarás,correrás,bailarás,estacionarás,pasearás,nadarás,saltarás,volarás,caerás,darás,subirás,guardarás,esconderás,bajarás,harás,desvestirás,vestirás,bañarás,secarás,comprarás,pagarás,venderás,peinarás,mojarás,pegarás,limpiarás,pondrás,cantarás,dibujarás,ordenarás,coserás,llevarás,cortarás,romperás,pincharás,abrirás,cerrarás,plantarás,regarás,mirarás,escucharás,pensarás,olerás,reirás,llorarás,amarás,besarás,querrás,tendrás,olvidarás,recordarás,aprenderás,gustarás,ayudarás,sabrás,pelearás,rascarás,descansarás,festejarás,perderás,ganarás,esperarás,abrazarás,invitarás,gritarás,molestarás
jugará,trabajará,escribirá,leerá,hablará,contará,estudiará,explicará,agarrará,cambiará,beberá,comerá,enseñará,dormirá,cocinará,irá,volverá,se levantará,se acostará,se sentará,caminará,correrá,bailará,estacionará,paseará,nadará,saltará,volará,caerá,dará,subirá,guardará,esconderá,bajará,hará,desvestirá,vestirá,bañará,secará,comprará,pagará,venderá,peinará,mojará,pegará,limpiará,pondrá,cantará,dibujará,ordenará,coserá,llevará,cortará,romperá,pinchará,abrirá,cerrará,plantará,regará,mirará,escuchará,pensará,olerá,reirá,llorará,amará,besará,querrá,tendrá,olvidará,recordará,aprenderá,gustará,ayudará,sabrá,peleará,rascará,descansará,festejará,perderá,ganará,esperará,abrazará,invitará,gritará,molestará
jugaremos,trabajaremos,escribiremos,leeremos,hablaremos,contaremos,estudiaremos,explicaremos,agarraremos,cambiaremos,beberemos,comeremos,enseñaremos,dormiremos,cocinaremos,iremos,volveremos,nos levantaremos,nos acostaremos,nos sentaremos,caminaremos,correremos,bailaremos,estacionaremos,pasearemos,nadaremos,saltaremos,volaremos,caeremos,daremos,subiremos,guardaremos,esconderemos,bajaremos,haremos,desvestiremos,vestiremos,bañaremos,secaremos,compraremos,pagaremos,venderemos,peinaremos,mojaremos,pegaremos,limpiaremos,pondremos,cantaremos,dibujaremos,ordenaremos,coseremos,llevaremos,cortaremos,romperemos,pincharemos,abriremos,cerraremos,plantaremos,regaremos,miraremos,escucharemos,pensaremos,oleremos,reiremos,lloraremos,amaremos,besaremos,querremos,tendremos,olvidaremos,recordaremos,aprenderemos,gustaremos,ayudaremos,sabremos,pelearemos,rascaremos,descansaremos,festejaremos,perderemos,ganaremos,esperaremos,abrazaremos,invitaremos,gritaremos,molestaremos
jugarán,trabajarán,escribirán,leerán,hablarán,contarán,estudiarán,explicarán,agarrarán,cambiarán,beberán,comerán,enseñarán,dormirán,cocinarán,irán,volverán,se levantarán,se acostarán,se sentarán,caminarán,correrán,bailarán,estacionarán,pasearán,nadarán,saltarán,volarán,caerán,darán,subirán,guardarán,esconderán,bajarán,harán,desvestirán,vestirán,bañarán,secarán,comprarán,pagarán,venderán,peinarán,mojarán,pegarán,limpiarán,pondrán,cantarán,dibujarán,ordenarán,coserán,llevarán,cortarán,romperán,pincharán,abrirán,cerrarán,plantarán,regarán,mirarán,escucharán,pensarán,olerán,reirán,llorarán,amarán,besarán,querrán,tendrán,olvidarán,recordarán,aprenderán,gustarán,ayudarán,sabrán,pelearán,rascarán,descansarán,festejarán,perderán,ganarán,esperarán,abrazarán,invitarán,gritarán,molestarán
jugarás,trabajarás,escribirás,leerás,hablarás,contarás,estudiarás,explicarás,agarrarás,cambiarás,beberás,comerás,enseñarás,dormirás,cocinarás,irás,volverás,te levantarás,te acostarás,te sentarás,caminarás,correrás,bailarás,estacionarás,pasearás,nadarás,saltarás,volarás,caerás,darás,subirás,guardarás,esconderás,bajarás,harás,desvestirás,vestirás,bañarás,secarás,comprarás,pagarás,venderás,peinarás,mojarás,pegarás,limpiarás,pondrás,cantarás,dibujarás,ordenarás,coserás,llevarás,cortarás,romperás,pincharás,abrirás,cerrarás,plantarás,regarás,mirarás,escucharás,pensarás,olerás,reirás,llorarás,amarás,besarás,querrás,tendrás,olvidarás,recordarás,aprenderás,gustarás,ayudarás,sabrás,pelearás,rascarás,descansarás,festejarás,perderás,ganarás,esperarás,abrazarás,invitarás,gritarás,molestarás
jugaría,trabajaría,escribiría,leería,hablaría,contaría,estudiaría,explicaría,agarraría,cambiaría,bebería,comería,enseñaría,dormiría,cocinaría,iría,volvería,me levantaría,me acostaría,me sentaría,caminaría,correría,bailaría,estacionaría,pasearía,nadaría,saltaría,volaría,caería,daría,subiría,guardaría,escondería,bajaría,haría,desvestiría,vestiría,bañaría,secaría,compraría,pagaría,vendería,peinaría,mojaría,pegaría,limpiaría,pondría,cantaría,dibujaría,ordenaría,cosería,llevaría,cortaría,rompería,pincharía,abriría,cerraría,plantaría,regaría,miraría,escucharía,pensaría,olería,reiría,lloraría,amaría,besaría,querría,tendría,olvidaría,recordaría,aprendería,gustaría,ayudaría,sabría,pelearía,rascaría,descansaría,festejaría,perdería,ganaría,esperaría,abrazaría,invitaría,gritaría,molestaría
jugarías,trabajarías,escribirías,leerías,hablarías,contarías,estudiarías,explicarías,agarrarías,cambiarías,beberías,comerías,enseñarías,dormirías,cocinarías,irías,volverías,te levantarías,te acostarías,te sentarías,caminarías,correrías,bailarías,estacionarías,pasearías,nadarías,saltarías,volarías,caerías,darías,subirías,guardarías,esconderías,bajarías,harías,desvestirías,vestirías,bañarías,secarías,comprarías,pagarías,venderías,peinarías,mojarías,pegarías,limpiarías,pondrías,cantarías,dibujarías,ordenarías,coserías,llevarías,cortarías,romperías,pincharías,abrirías,cerrarías,plantarías,regarías,mirarías,escucharías,pensarías,olerías,reirías,llorarías,amarías,besarías,querrías,tendrías,olvidarías,recordarías,aprenderías,gustarías,ayudarías,sabrías,pelearías,rascarías,descansarías,festejarías,perderías,ganarías,esperarías,abrazarías,invitarías,gritarías,molestarías
jugaría,trabajaría,escribiría,leería,hablaría,contaría,estudiaría,explicaría,agarraría,cambiaría,bebería,comería,enseñaría,dormiría,cocinaría,iría,volvería,se levantaría,se acostaría,se sentaría,caminaría,correría,bailaría,estacionaría,pasearía,nadaría,saltaría,volaría,caería,daría,subiría,guardaría,escondería,bajaría,haría,desvestiría,vestiría,bañaría,secaría,compraría,pagaría,vendería,peinaría,mojaría,pegaría,limpiaría,pondría,cantaría,dibujaría,ordenaría,cosería,llevaría,cortaría,rompería,pincharía,abriría,cerraría,plantaría,regaría,miraría,escucharía,pensaría,olería,reiría,lloraría,amaría,besaría,querría,tendría,olvidaría,recordaría,aprendería,gustaría,ayudaría,sabría,pelearía,rascaría,descansaría,festejaría,perdería,ganaría,esperaría,abrazaría,invitaría,gritaría,molestaría
jugaríamos,trabajaríamos,escribiríamos,leeríamos,hablaríamos,contaríamos,estudiaríamos,explicaríamos,agarraríamos,cambiaríamos,beberíamos,comeríamos,enseñaríamos,dormiríamos,cocinaríamos,iríamos,volveríamos,nos levantaríamos,nos acostaríamos,nos sentaríamos,caminaríamos,correríamos,bailaríamos,estacionaríamos,pasearíamos,nadaríamos,saltaríamos,volaríamos,caeríamos,daríamos,subiríamos,guardaríamos,esconderíamos,bajaríamos,haríamos,desvestiríamos,vestiríamos,bañaríamos,secaríamos,compraríamos,pagaríamos,venderíamos,peinaríamos,mojaríamos,pegaríamos,limpiaríamos,pondríamos,cantaríamos,dibujaríamos,ordenaríamos,coseríamos,llevaríamos,cortaríamos,romperíamos,pincharíamos,abriríamos,cerraríamos,plantaríamos,regaríamos,miraríamos,escucharíamos,pensaríamos,oleríamos,reiríamos,lloraríamos,amaríamos,besaríamos,querríamos,tendríamos,olvidaríamos,recordaríamos,aprenderíamos,gustaríamos,ayudaríamos,sabríamos,pelearíamos,rascaríamos,descansaríamos,festejaríamos,perderíamos,ganaríamos,esperaríamos,abrazaríamos,invitaríamos,gritaríamos,molestaríamos
jugarían,trabajarían,escribirían,leerían,hablarían,contarían,estudiarían,explicarían,agarrarían,cambiarían,beberían,comerían,enseñarían,dormirían,cocinarían,irían,volverían,se levantarían,se acostarían,se sentarían,caminarían,correrían,bailarían,estacionarían,pasearían,nadarían,saltarían,volarían,caerían,darían,subirían,guardarían,esconderían,bajarían,harían,desvestirían,vestirían,bañarían,secarían,comprarían,pagarían,venderían,peinarían,mojarían,pegarían,limpiarían,pondrían,cantarían,dibujarían,ordenarían,coserían,llevarían,cortarían,romperían,pincharían,abrirían,cerrarían,plantarían,regarían,mirarían,escucharían,pensarían,olerían,reirían,llorarían,amarían,besarían,querrían,tendrían,olvidarían,recordarían,aprenderían,gustarían,ayudarían,sabrían,pelearían,rascarían,descansarían,festejarían,perderían,ganarían,esperarían,abrazarían,invitarían,gritarían,molestarían
jugarías,trabajarías,escribirías,leerías,hablarías,contarías,estudiarías,explicarías,agarrarías,cambiarías,beberías,comerías,enseñarías,dormirías,cocinarías,irías,volverías,te levantarías,te acostarías,te sentarías,caminarías,correrías,bailarías,estacionarías,pasearías,nadarías,saltarías,volarías,caerías,darías,subirías,guardarías,esconderías,bajarías,harías,desvestirías,vestirías,bañarías,secarías,comprarías,pagarías,venderías,peinarías,mojarías,pegarías,limpiarías,pondrías,cantarías,dibujarías,ordenarías,coserías,llevarías,cortarías,romperías,pincharías,abrirías,cerrarías,plantarías,regarías,mirarías,escucharías,pensarías,olerías,reirías,llorarías,amarías,besarías,querrías,tendrías,olvidarías,recordarías,aprenderías,gustarías,ayudarías,sabrías,pelearías,rascarías,descansarías,festejarías,perderías,ganarías,esperarías,abrazarías,invitarías,gritarías,molestarías
jugado ,trabajado,escrito,leído,hablado,contado,estudiado,explicado,agarrado,cambiado,bebido,comido,enseñado,dormido,cocinado,ido,vuelto,levantado,acostado,sentado,caminado,corrido,bailado,estacionado,paseado,nadado,saltado,volado,caído,dado,subido,guardado,escondido,bajado,hecho,desvestido,vestido,bañado,secado,comprado,pagado,vendido,peinado,mojado,pegado,limpiado,puesto,cantado,dibujado,ordenado,cosido,llevado,cortado,roto,pichado,abierto,cerrado,plantado,regado,mirado,escuchado,pensado,olido,reído,llorado,amado,besado,querido,tenido,olvidado,recordado,aprendido,gustado,ayudado,sabido,peleado,rascado,descansado,festejado,perdido,ganado,esperado,abrazado,invitado,gritado,molestado
jugando,trabajando,escribiendo,leyendo,hablando,contando,estudiando,explicando,agarrando,cambiando,bebiendo,comiendo,enseñando,durmiendo,cocinando,yendo,volviendo,levantando,acostando,sentando,caminando,corriendo,bailando,estacionando,paseando,nadando,saltando,volando,cayendo,dando,subiendo,guardando,escondiendo,bajando,haciendo,desvistiendo,vistiendo,bañando,secando,comprando,pagando,vendiendo,peinando,mojando,pegando,limpiando,poniendo,cantando,dibujando,ordenando,cosiendo,llevando,cortando,rompiendo,pinchando,abriendo,cerrando,plantando,regando,mirando,escuchando,pensando,oliendo,riendo,llorando,amando,besando,queriendo,teniendo,olvidando,recordando,aprendiendo,gustando,ayudando,sabiendo,peleando,rascando,descansando,festejando,perdiendo,ganando,esperando,abrazando,invitando,gritando,molestando
